id,manufacturer,model_name,recall_type,additional_info
1,비엠더블유코리아(주),BMW 320i  BMW 320i Touring  BMW 420i Convertible  BMW 420i Coupe  BMW 420i Gran Coupe  BMW 520i  BMW 523d  BMW 523d xDrive  BMW 530i xDrive  BMW X3 20 xDrive  BMW X3 20d xDrive,자발적리콜,정상적으로 생산된 48V 스타터 발전기로 교체하고 필요 시 배터리 양극 케이블 교체하거나 수리함 
2,비엠더블유코리아(주),BMW X3 20 xDrive  BMW X3 20d xDrive,자발적리콜,48V 스타터 발전기 볼트 연결부의 체결 상태를 점검하고  규정 토크로 체결되어 있지 않을 경우 규정 토크로 체결함. 만약 배선 연결부에 그을음이 있을 경우 48V 스타터 발전기 및 배터리 양극 케이블을 교체함 
3,비엠더블유코리아(주),MINI Cooper SE,자발적리콜,고전압 배터리 상태 및 고전압 배터리 하우징의 밀봉상태를 점검하고 밀봉이 제대로 되지 않았을 경우 고전압 배터리 관련 구성품을 교체함 
4,메르세데스벤츠코리아(주),AMG S 63 E Performance  AMG GT 63 S E Performance,자발적리콜,개선된 고전압 시동 발전기 소프트웨어로 업데이트 
5,메르세데스벤츠코리아(주),E 220 d 4MATIC  E 300 4MATIC  E 200  E 450 4MATIC,자발적리콜,48V 접지 연결 볼트 점검 및 필요 시 재작업 
6,비엠더블유코리아(주),BMW i5 xDrive40,자발적리콜,품질이 개선된 통합제동장치로 교체
7,혼다코리아(주),ACCORD  ACCORD HYBRID  CR-V  ODYSSEY  PILOT  CIVIC  CROSSTOUR  CR-Z  HR-V  LEGEND,자발적리콜,개선된 연료펌프로 교체 
8,(주)볼보자동차코리아,S90  V90CC  S60  V60CC  XC60.  XC90  XC40  C40,자발적리콜,개선된 소프트웨어 업데이트(OTA 기능 적용차량의 경우 OTA로 업데이트 예정)
9,폭스바겐그룹코리아 주식회사,A5 40 TFSI qu  A5 45 TFSI qu. Premium  A6 e-tron performance  Q6 e-tron performance,자발적리콜,전방 동승자석 에어백 모듈 교체 
10,만트럭버스코리아(주),TGS  TGX  TGM  TGL,자발적리콜,세라믹 절연체가 있는 개선된 시가소켓으로 교체 
11,메르세데스벤츠코리아(주),G 400 d,자발적리콜,엔진 컨트롤 유닛 소프트웨어 업데이트 
12,현대자동차(주),GV70(JK1 PE)  GV70 Electrified(JK1 EV PE)  아이오닉9(ME1),자발적리콜,에어백 제어장치(ACU) 소프트웨어 업데이트 (점검 후 필요 시 ACU 교체)
13,포르쉐코리아 주식회사,마칸  마칸 4  마칸 4S  마칸 터보,자발적리콜,후방카메라 소프트웨어를 업데이트 
14,폭스바겐그룹코리아 주식회사,A7 55 TFSI e qu. Premium,자발적리콜,고전압배터리 점검 및 소프트웨어 업데이트 
15,폭스바겐그룹코리아 주식회사,Q6 e-tron performance,자발적리콜,후방카메라 교체 
16,비엠더블유코리아(주),R 18  R 18 CLASSIC  R 18 B  R 18 TANSCONTINENTAL  R 18 ROCTANE,자발적리콜,와이어링 하니스에 추가 보호 릴레이 설치 및 소프트웨어 업데이트 
17,폭스바겐그룹코리아 주식회사,Q3 40 TFSI qu. Premium  Q3 35 TDI Premium  Q3 Sportback 40 TFSI qu. Premium,자발적리콜,소프트웨어 업데이트 
18,폭스바겐그룹코리아 주식회사,A6 40 TDI 등 31차종,자발적리콜,소프트웨어 업데이트 
19,한국토요타자동차(주),토요타 시에나 하이브리드 2WD  토요타 시에나 하이브리드 AWD,자발적리콜,대상차량에 대해 3열 좌석 등받이 고정볼트를 규정 토크로 재조임 
20,비엠더블유코리아(주),BMW R 12  BMW R 12 nineT,자발적리콜,오류가 수정된 최신 소프트웨어 버전 업데이트 진행 
21,(주)재규어랜드로버코리아,더 뉴 레인지로버 D350 LWB  더 뉴 레인지로버 D350 SWB  더 뉴 레인지로버 P530 LWB  더 뉴 레인지로버 P530 SWB,자발적리콜,후방카메라 교체 
22,(주)볼보자동차코리아,S90  XC60  XC90,자발적리콜,구동축전지 모듈 내의 셀 편차를 식별하는 분석방법을 사용하여 대상 차량을 점검함. 잠재적인 문제점의 증거가 발견되지 않을 경우 해당 차량은 배터리 모니터링 소프트웨어 업그레이드를 진행하며  문제점이 발견될 경우 소프트웨어 업그레이드 외에 구동축전지 내부 해당 모듈을 무상으로 교체함 
23,메르세데스벤츠코리아(주),S 500 4MATIC,자발적리콜,개선된 퓨즈 박스로 교체 
24,한국지엠주식회사,카마로 (Camaro),자발적리콜,토크 센서를 포함한 전동식 스티어링 기어 교환 
25,메르세데스벤츠코리아(주),S 350 d  S 400 d 4MATIC  S 450 4MATIC  S 500  S 500 4MATIC  S 580 e 4MATIC  S 580 4MATIC  Maybach S 580 4MATIC  Maybach S 680 4MATIC,자발적리콜,개선된 브레이크 호스 교체 
26,메르세데스벤츠코리아(주),AMG GT 63 S E Performance  AMG S 63 E Performance  AMG GT 63 S E Performance,자발적리콜,개선된 고전압 시동 발전기 소프트웨어로 업데이트 
27,지엠아시아퍼시픽지역본부 주식회사,ATS  CTS,자발적리콜,토크 센서를 포함한 전동식 스티어링 기어 교환 
28,비엠더블유코리아(주),BMW 118d  BMW X1 X20D A   BMW X1 xDrive20d  BMW X1 xDrive18d  BMW 335i Convertible,자발적리콜,정상적으로 제조된 운전석 에어백으로 교체함 
